location_id,on_date,min_temp_c,max_temp_c,precip_mm,conditions,source
40,2025-10-23,22.2,26.3,8.8,Light rain,Open-Meteo
40,2025-10-24,21.8,25.9,6.0,Light rain,Open-Meteo
40,2025-10-25,21.8,27.6,25.8,Unknown,Open-Meteo
40,2025-10-26,21.8,28.4,0.7,Light drizzle,Open-Meteo
41,2025-10-20,1.9,9.1,0.0,Cloudy,Open-Meteo
41,2025-10-21,3.0,11.5,0.0,Cloudy,Open-Meteo
41,2025-10-22,4.6,12.9,0.1,Light drizzle,Open-Meteo
41,2025-10-23,6.8,13.1,0.0,Cloudy,Open-Meteo
41,2025-10-24,8.2,13.5,0.0,Cloudy,Open-Meteo
41,2025-10-25,7.7,15.9,0.0,Cloudy,Open-Meteo
41,2025-10-26,3.0,11.2,0.0,Clear,Open-Meteo
42,2025-10-20,15.4,20.2,0.0,Cloudy,Open-Meteo
42,2025-10-21,14.9,19.4,0.0,Cloudy,Open-Meteo
42,2025-10-22,15.0,20.3,0.0,Cloudy,Open-Meteo
42,2025-10-23,15.6,19.9,0.0,Cloudy,Open-Meteo
42,2025-10-24,15.3,19.8,0.0,Cloudy,Open-Meteo
42,2025-10-25,16.0,20.0,0.0,Cloudy,Open-Meteo
42,2025-10-26,16.1,19.9,0.0,Cloudy,Open-Meteo
43,2025-10-20,9.5,13.4,6.5,Moderate drizzle,Open-Meteo
43,2025-10-21,9.0,13.5,0.5,Light drizzle,Open-Meteo
43,2025-10-22,9.8,16.6,0.0,Cloudy,Open-Meteo
43,2025-10-23,10.5,18.4,0.0,Cloudy,Open-Meteo
43,2025-10-24,11.9,17.8,0.2,Light drizzle,Open-Meteo
43,2025-10-25,11.0,16.4,2.0,Moderate drizzle,Open-Meteo
43,2025-10-26,11.6,18.5,0.0,Cloudy,Open-Meteo
44,2025-10-20,6.8,9.0,8.4,Unknown,Open-Meteo
44,2025-10-21,6.7,12.5,0.0,Cloudy,Open-Meteo
44,2025-10-22,8.2,15.5,0.0,Cloudy,Open-Meteo
44,2025-10-23,8.9,16.7,0.0,Cloudy,Open-Meteo
44,2025-10-24,10.5,15.4,3.6,Moderate drizzle,Open-Meteo
44,2025-10-25,8.8,13.0,2.8,Moderate drizzle,Open-Meteo
44,2025-10-26,9.1,19.2,0.0,Cloudy,Open-Meteo
45,2025-10-20,13.1,18.8,0.0,Cloudy,Open-Meteo
45,2025-10-21,12.1,15.8,0.0,Cloudy,Open-Meteo
45,2025-10-22,11.5,17.2,0.2,Light drizzle,Open-Meteo
45,2025-10-23,12.3,19.2,0.0,Cloudy,Open-Meteo
45,2025-10-24,12.6,20.6,0.0,Cloudy,Open-Meteo
45,2025-10-25,14.9,20.7,0.0,Cloudy,Open-Meteo
45,2025-10-26,12.5,19.5,0.0,Cloudy,Open-Meteo
46,2025-10-20,12.9,23.5,0.0,Cloudy,Open-Meteo
46,2025-10-21,12.7,17.4,3.1,Light rain,Open-Meteo
46,2025-10-22,12.1,14.5,3.8,Moderate drizzle,Open-Meteo
46,2025-10-23,11.4,20.2,0.4,Light drizzle,Open-Meteo
46,2025-10-24,13.3,18.0,0.3,Light drizzle,Open-Meteo
46,2025-10-25,15.5,19.7,18.0,Moderate rain,Open-Meteo
46,2025-10-26,15.5,20.6,14.2,Moderate rain,Open-Meteo
47,2025-10-20,23.4,27.8,0.0,Cloudy,Open-Meteo
47,2025-10-21,23.2,27.8,0.3,Light drizzle,Open-Meteo
47,2025-10-22,23.7,28.5,0.0,Cloudy,Open-Meteo
47,2025-10-23,23.0,28.9,0.0,Cloudy,Open-Meteo
47,2025-10-24,23.7,28.2,0.3,Light drizzle,Open-Meteo
47,2025-10-25,23.3,28.4,0.0,Cloudy,Open-Meteo
47,2025-10-26,23.6,27.9,0.2,Light drizzle,Open-Meteo
48,2025-10-20,19.7,30.1,0.0,Cloudy,Open-Meteo
48,2025-10-21,17.4,22.2,0.0,Cloudy,Open-Meteo
48,2025-10-22,16.2,18.3,5.6,Moderate drizzle,Open-Meteo
48,2025-10-23,16.7,22.6,0.0,Cloudy,Open-Meteo
48,2025-10-24,19.7,24.4,0.0,Cloudy,Open-Meteo
48,2025-10-25,21.4,28.9,0.0,Cloudy,Open-Meteo
48,2025-10-26,19.8,30.3,0.0,Cloudy,Open-Meteo
49,2025-10-20,23.6,30.4,4.6,Moderate rain,Open-Meteo
49,2025-10-21,24.1,32.0,3.1,Moderate drizzle,Open-Meteo
49,2025-10-22,23.7,28.6,0.8,Light drizzle,Open-Meteo
49,2025-10-23,23.6,29.2,16.8,Moderate rain,Open-Meteo
49,2025-10-24,23.2,29.1,10.8,Moderate rain,Open-Meteo
49,2025-10-25,24.0,31.1,0.1,Light drizzle,Open-Meteo
49,2025-10-26,24.3,33.1,0.0,Cloudy,Open-Meteo
50,2025-10-20,7.8,10.9,5.5,Moderate drizzle,Open-Meteo
50,2025-10-21,5.7,14.3,0.0,Cloudy,Open-Meteo
50,2025-10-22,7.4,16.2,0.0,Cloudy,Open-Meteo
50,2025-10-23,9.2,17.6,0.0,Cloudy,Open-Meteo
50,2025-10-24,11.1,18.2,1.6,Moderate drizzle,Open-Meteo
50,2025-10-25,8.1,13.2,2.9,Moderate drizzle,Open-Meteo
50,2025-10-26,7.6,18.5,0.0,Cloudy,Open-Meteo
51,2025-10-20,8.8,11.6,0.0,Cloudy,Open-Meteo
51,2025-10-21,6.7,14.0,0.0,Cloudy,Open-Meteo
51,2025-10-22,7.0,15.4,0.0,Partly cloudy,Open-Meteo
51,2025-10-23,8.1,16.7,0.0,Cloudy,Open-Meteo
51,2025-10-24,9.4,15.8,0.2,Light drizzle,Open-Meteo
51,2025-10-25,8.2,12.9,2.2,Light drizzle,Open-Meteo
51,2025-10-26,7.5,16.5,0.0,Cloudy,Open-Meteo
52,2025-10-20,21.1,29.1,0.0,Clear,Open-Meteo
52,2025-10-21,20.2,28.5,0.0,Cloudy,Open-Meteo
52,2025-10-22,18.8,24.2,0.3,Light drizzle,Open-Meteo
52,2025-10-23,18.2,20.1,2.9,Light rain,Open-Meteo
52,2025-10-24,19.0,21.3,0.6,Light drizzle,Open-Meteo
52,2025-10-25,20.4,25.0,0.0,Cloudy,Open-Meteo
52,2025-10-26,20.6,27.3,0.0,Cloudy,Open-Meteo
53,2025-10-20,5.6,17.3,0.0,Clear,Open-Meteo
53,2025-10-21,8.6,14.5,2.3,Unknown,Open-Meteo
53,2025-10-22,7.4,9.8,0.4,Light drizzle,Open-Meteo
53,2025-10-23,4.3,10.6,0.0,Cloudy,Open-Meteo
53,2025-10-24,2.5,9.6,0.0,Clear,Open-Meteo
53,2025-10-25,3.2,11.4,0.0,Cloudy,Open-Meteo
53,2025-10-26,8.2,12.7,0.0,Cloudy,Open-Meteo
54,2025-10-20,9.7,16.1,2.4,Moderate drizzle,Open-Meteo
54,2025-10-21,9.6,13.3,2.0,Moderate drizzle,Open-Meteo
54,2025-10-22,9.5,17.1,0.0,Partly cloudy,Open-Meteo
54,2025-10-23,9.9,17.7,0.0,Partly cloudy,Open-Meteo
54,2025-10-24,11.9,18.8,0.0,Cloudy,Open-Meteo
54,2025-10-25,12.5,17.6,0.4,Light drizzle,Open-Meteo
54,2025-10-26,10.6,17.3,0.0,Cloudy,Open-Meteo
55,2025-10-20,5.3,12.3,0.0,Cloudy,Open-Meteo
55,2025-10-21,4.9,13.7,0.0,Cloudy,Open-Meteo
55,2025-10-22,7.0,15.4,0.0,Cloudy,Open-Meteo
55,2025-10-23,8.7,15.7,0.0,Cloudy,Open-Meteo
55,2025-10-24,9.6,15.7,3.2,Moderate drizzle,Open-Meteo
55,2025-10-25,8.5,13.5,0.9,Light drizzle,Open-Meteo
55,2025-10-26,6.9,16.7,0.0,Cloudy,Open-Meteo
56,2025-10-20,22.7,32.7,0.0,Partly cloudy,Open-Meteo
56,2025-10-21,21.8,32.2,2.3,Light rain,Open-Meteo
56,2025-10-22,22.7,32.2,0.3,Light drizzle,Open-Meteo
56,2025-10-23,21.4,32.5,8.4,Light rain,Open-Meteo
